nodeID,H,T,seizoen,methode
258,-5.119,25,geheel jaar,Gumbel fit
258,-5.114,50,geheel jaar,Gumbel fit
258,-5.11,100,geheel jaar,Gumbel fit
1098,-5.683,10,geheel jaar,gewogen gemiddelde
1098,-5.719,10,alleen zomer,gewogen gemiddelde
1098,-5.733,10,alleen zomer,Gumbel fit
1098,-5.653,10,geheel jaar,Gumbel fit
1098,-5.597,25,geheel jaar,Gumbel fit
1098,-5.554,50,geheel jaar,Gumbel fit
1098,-5.512,100,geheel jaar,Gumbel fit
101,-5.69,10,geheel jaar,gewogen gemiddelde
101,-5.727,10,alleen zomer,gewogen gemiddelde
101,-5.74,10,alleen zomer,Gumbel fit
101,-5.66,10,geheel jaar,Gumbel fit
101,-5.603,25,geheel jaar,Gumbel fit
101,-5.559,50,geheel jaar,Gumbel fit
101,-5.516,100,geheel jaar,Gumbel fit
105,-5.69,10,geheel jaar,gewogen gemiddelde
105,-5.727,10,alleen zomer,gewogen gemiddelde
105,-5.74,10,alleen zomer,Gumbel fit
105,-5.659,10,geheel jaar,Gumbel fit
105,-5.602,25,geheel jaar,Gumbel fit
105,-5.559,50,geheel jaar,Gumbel fit
105,-5.516,100,geheel jaar,Gumbel fit
121,-5.638,10,geheel jaar,gewogen gemiddelde
121,-5.725,10,alleen zomer,gewogen gemiddelde
121,-5.724,10,alleen zomer,Gumbel fit
121,-5.62,10,geheel jaar,Gumbel fit
121,-5.569,25,geheel jaar,Gumbel fit
121,-5.53,50,geheel jaar,Gumbel fit
121,-5.491,100,geheel jaar,Gumbel fit
274,-5.345,10,geheel jaar,gewogen gemiddelde
274,-5.345,10,alleen zomer,gewogen gemiddelde
274,-5.345,10,alleen zomer,Gumbel fit
274,-5.345,10,geheel jaar,Gumbel fit
274,-5.345,25,geheel jaar,Gumbel fit
274,-5.345,50,geheel jaar,Gumbel fit
274,-5.345,100,geheel jaar,Gumbel fit
277,-5.446,10,geheel jaar,gewogen gemiddelde
277,-5.446,10,alleen zomer,gewogen gemiddelde
277,-5.446,10,alleen zomer,Gumbel fit
277,-5.446,10,geheel jaar,Gumbel fit
